feature,importance
pca_1,0.3078644596189006
Temperature_F,0.1995622758654255
PIR_40,0.1415499974416523
pir_par,0.1261218612133028
fft_entropy,0.07176578449623394
pir_std,0.06099310099922299
pca_3,0.014890132894955027
PIR_45,0.013139641417079281
pir_cv,0.01161360072910448
fft_std_magnitude,0.007288578964993673
pir_range,0.005260168004544251
Hour,0.004932318004975861
PIR_46,0.004721558386678832
pca_5,0.004050226752777611
PIR_4,0.002928845762229826
pca_2,0.002136968945231358
pir_kurtosis,0.002107102579945636
activation_ratio,0.0019411646298016368
PIR_8,0.0017308416906393679
fft_mean_magnitude,0.0011818054639756118
pir_mean,0.0009013654624576083
PIR_3,0.0008761617717087471
temp_x_activation,0.0008276291798655465
pir_max,0.0008119206538184183
pir_min,0.000784351324662246
pca_13,0.0007027112846763937
PIR_54,0.0006026047336770067
temp_x_pir_mean,0.0005152541605557217
PIR_19,0.0004963603626003704
PIR_29,0.0004636788150981658
fft_max_magnitude,0.00044957927920977723
PIR_47,0.000449354117139775
PIR_9,0.000433207732177366
pir_iqr,0.00038717690493520943
pca_15,0.0003514628295664895
PIR_30,0.00024942350281165177
PIR_51,0.0002447167828792761
PIR_36,0.00023814596532595127
pca_14,0.00023180047764285376
PIR_35,0.00021190644095013
PIR_22,0.0001978707675517926
PIR_39,0.00018585345353423733
PIR_52,0.00016891872449408733
PIR_48,0.00016344914104062113
PIR_42,0.00014841707771202534
pca_8,0.00013523050106688855
fft_energy,0.000134763754754644
PIR_27,0.00013471770122554176
pca_9,0.00013184182949907801
PIR_28,0.0001268355329959609
PIR_12,0.00012378310874444648
PIR_23,0.00012326072972102504
PIR_26,0.00012084211214028528
PIR_1,0.00011241706088648141
PIR_18,0.00010620963802488583
PIR_7,9.676679399383794e-05
PIR_32,9.610804697377286e-05
pir_q75,9.114801254753967e-05
PIR_15,8.025275471143102e-05
PIR_5,7.98436344180576e-05
pca_12,7.23922960663695e-05
PIR_50,7.062302537673209e-05
PIR_24,6.943033005403475e-05
DayOfWeek,6.689750625413436e-05
PIR_11,6.613755270622567e-05
activation_cluster_size,6.518557783526352e-05
PIR_13,6.299227805576053e-05
sensors_activated,5.927934956651597e-05
PIR_41,5.484348837724772e-05
IsWeekend,5.164135933972857e-05
PIR_49,5.159138725139119e-05
PIR_14,5.011911018340986e-05
pir_q25,4.9628236087573414e-05
PIR_21,4.5377852844186076e-05
PIR_37,4.346119331832457e-05
PIR_6,4.335398554923929e-05
PIR_2,3.8065534175286993e-05
PIR_44,3.767097169540541e-05
pca_6,3.555778402231702e-05
PIR_55,3.412549446856972e-05
fft_dominant_freq,3.379262585384585e-05
PIR_10,3.255696190803454e-05
PIR_20,3.2452839917904725e-05
pca_11,3.1050010579899515e-05
PIR_25,3.0039380053341152e-05
PIR_31,2.981130736095755e-05
PIR_16,2.790605619144967e-05
PIR_43,2.5554514912021078e-05
pir_skew,2.3826695500814413e-05
pca_4,2.3456513547098052e-05
PIR_34,1.426130379668099e-05
PIR_53,1.26283787359868e-05
consecutive_activation_1,9.315300426008924e-06
PIR_38,8.243469554141356e-06
consecutive_activation_2,7.602284343228873e-06
pca_10,7.121451665406617e-06
PIR_17,5.184458429123339e-06
pca_7,4.92448186811819e-06
PIR_33,4.117651920400195e-06
consecutive_activation_3,2.6957703117168e-09
consecutive_activation_4,7.801783941268733e-10
consecutive_activation_0,5.047932890617527e-10
